iter	Passed	Remaining
334	795	1578
335	796	1574
336	797	1569
337	798	1564
338	799	1559
339	800	1554
340	802	1550
341	803	1546
342	805	1542
343	806	1537
344	807	1532
345	808	1528
346	809	1523
347	810	1518
348	811	1514
349	812	1509
350	813	1504
351	815	1500
352	816	1495
353	817	1492
354	820	1490
355	821	1486
356	822	1482
357	824	1477
358	825	1473
359	826	1469
360	827	1464
361	828	1460
362	829	1455
363	830	1451
364	831	1447
365	833	1444
366	834	1439
367	835	1435
368	837	1431
369	838	1427
370	839	1423
371	840	1419
372	841	1414
373	842	1410
374	843	1406
375	845	1402
376	846	1398
377	847	1394
378	848	1391
379	850	1387
380	851	1382
381	852	1378
382	853	1375
383	854	1370
384	855	1366
385	856	1362
386	857	1359
387	859	1355
388	860	1351
389	861	1347
390	862	1344
391	864	1340
392	865	1336
393	866	1332
394	867	1328
395	868	1324
396	869	1320
397	870	1316
398	871	1312
399	872	1309
400	873	1305
401	875	1301
402	876	1298
403	877	1295
404	879	1291
405	880	1288
406	881	1284
407	882	1280
408	884	1277
409	885	1273
410	886	1269
411	887	1266
412	888	1262
413	889	1259
414	890	1255
415	892	1252
416	893	1249
417	894	1245
418	895	1242
419	896	1238
420	898	1235
421	899	1231
422	900	1228
423	901	1224
424	902	1221
425	903	1217
426	905	1214
427	906	1211
428	907	1208
429	908	1204
430	910	1201
431	911	1198
432	912	1194
433	913	1191
434	914	1188
435	915	1184
436	917	1181
437	918	1178
438	919	1174
439	920	1171
440	921	1168
441	923	1165
442	924	1161
443	925	1158
444	926	1155
445	927	1152
446	929	1149
447	930	1146
448	931	1143
449	933	1140
450	934	1137
451	937	1137
452	939	1134
453	940	1130
454	941	1127
